YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,SPECIES_CD,density
2017,STTSTJ,AGRFDEEP,0,6018,BAL VETU,1
2017,STTSTJ,AGRFDEEP,0,6018,CEP FULV,1
2017,STTSTJ,AGRFDEEP,0,6018,EPI GUTT,0.5
2017,STTSTJ,AGRFDEEP,0,6018,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6018,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6018,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6018,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,0,6018,SPA VIRI,2
2017,STTSTJ,AGRFDEEP,0,6019,BAL VETU,1.5
2017,STTSTJ,AGRFDEEP,0,6019,CEP FULV,0.5
2017,STTSTJ,AGRFDEEP,0,6019,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,0,6019,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6019,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6019,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6019,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,0,6019,SPA VIRI,1
2017,STTSTJ,AGRFDEEP,0,6022,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6022,CEP FULV,1.5
2017,STTSTJ,AGRFDEEP,0,6022,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,0,6022,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6022,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6022,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6022,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,0,6022,SPA VIRI,0
2017,STTSTJ,AGRFDEEP,0,6023,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6023,CEP FULV,1
2017,STTSTJ,AGRFDEEP,0,6023,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,0,6023,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6023,LUT ANAL,1
